strategy,checkpoint,n_samples,kl_bits_mean,kl_bits_lo,kl_bits_hi,risk_achieved_mean,risk_achieved_lo,risk_achieved_hi,latency_ms_mean,latency_ms_lo,latency_ms_hi,loop_rate,rmst,survival_auc
temperature_0.10,cosine,150,0.0,0.0,0.0,0.6861,0.6752,0.6954,1.567,1.5396,1.5962,0.2867,404.45,0.8089
rep_penalty_1.3,cosine,150,0.3883,0.3676,0.4115,0.5329,0.521,0.5456,7.8784,7.7698,7.9817,0.0467,486.4,0.9728
no_repeat_4gram,cosine,150,8.7958,8.6627,8.9206,0.0662,0.0655,0.0668,1.6358,1.6141,1.6591,0.0,500.0,1.0
suffixmatch_a3.0,cosine,150,0.4356,0.4294,0.4417,0.2848,0.2808,0.2884,1.6337,1.6118,1.6586,0.0,500.0,1.0
fsd,cosine,150,3.4474,3.4074,3.486,0.0955,0.0935,0.0971,1.8764,1.7942,1.9804,0.0,500.0,1.0
lzpenalty,cosine,150,0.5898,0.5745,0.6054,0.3798,0.3737,0.386,1.8956,1.8684,1.9223,0.0,500.0,1.0
rr_fixed,cosine,150,0.0372,0.0364,0.0381,0.55,0.5411,0.5591,3.0492,2.9989,3.1165,0.0267,492.85,0.9857
rr_adaptive,cosine,150,0.0963,0.0933,0.0992,0.4657,0.4588,0.472,3.1833,3.1039,3.2771,0.0,500.0,1.0
rr_dual_eps0.05,cosine,150,11.1863,11.0556,11.3189,0.0167,0.0166,0.0168,6.4915,6.3861,6.6209,0.0,500.0,1.0
rr_dual_eps0.01,cosine,150,12.6697,12.4578,12.8667,0.0032,0.0032,0.0032,6.5378,6.4634,6.6187,0.0,500.0,1.0
