strategy,n_samples,rep_mass_3_mean,rep_mass_3_lo,rep_mass_3_hi,compression_mean,compression_lo,compression_hi,longest_rep_sub_mean,longest_rep_sub_lo,longest_rep_sub_hi,mc_nll_bits_mean,mc_nll_bits_lo,mc_nll_bits_hi,spelling_error_mean,spelling_error_lo,spelling_error_hi,entropy_4char_mean,entropy_4char_lo,entropy_4char_hi,loop_rate_persistent,survival_auc_persistent,rmst_persistent,tokens_per_sec,kl_bits_mean,kl_bits_lo,kl_bits_hi,risk_achieved_mean,risk_achieved_lo,risk_achieved_hi,lambda_mean_mean,lambda_mean_lo,lambda_mean_hi,dual_feasible_rate_mean,dual_feasible_rate_lo,dual_feasible_rate_hi,dual_structurally_infeasible_rate_mean,dual_structurally_infeasible_rate_lo,dual_structurally_infeasible_rate_hi
greedy,100,0.9167,0.8485,0.9667,0.1514,0.1061,0.2094,287.6,262.8,300.0,0.6256,0.4509,0.8423,0.0743,0.047,0.108,6.6759,6.13,7.2307,0.3,0.7925,158.5,24.2,,,,,,,,,,,,,,,
lt_temp_0.05,100,0.9049,0.8501,0.9489,0.1649,0.1275,0.209,289.27,273.3855,298.88,0.6784,0.5339,0.8461,0.0601,0.0447,0.0767,6.7702,6.2679,7.2515,0.3,0.8362,167.24,92.6,,,,,,,,,,,,,,,
lt_temp_0.1,100,0.8854,0.8425,0.9222,0.1751,0.1372,0.2151,285.76,268.775,298.45,0.7278,0.5801,0.8803,0.0622,0.0478,0.0741,6.8154,6.3219,7.278,0.34,0.8187,163.74,82.4,,,,,,,,,,,,,,,
lt_temp_0.15,100,0.8691,0.8098,0.9153,0.1831,0.1478,0.2217,277.29,257.1695,291.9,0.766,0.6227,0.918,0.057,0.0417,0.0711,6.8299,6.3695,7.2392,0.34,0.8203,164.06,92.9,,,,,,,,,,,,,,,
lt_rep_penalty_1.3,100,0.0,0.0,0.0,0.62,0.6136,0.6256,9.0,8.59,9.4703,4.2822,4.2074,4.3571,0.1259,0.1155,0.1365,9.7447,9.7134,9.7781,0.0,1.0,200.0,31.0,,,,,,,,,,,,,,,
lt_no_repeat_3gram,100,0.0,0.0,0.0,0.4945,0.4617,0.5205,17.92,16.8097,19.01,2.3471,2.2774,2.4218,0.0726,0.0588,0.0857,8.6691,8.493,8.8124,0.0,1.0,200.0,91.1,,,,,,,,,,,,,,,
lt_suffixmatch_a3.0,100,0.6785,0.5952,0.7667,0.2906,0.2404,0.3307,112.85,95.7993,130.4502,1.203,1.0365,1.3495,0.0659,0.0508,0.0786,7.5537,7.0601,7.9707,0.04,0.9916,198.32,58.6,,,,,,,,,,,,,,,
lt_fsd,100,0.0707,0.0551,0.0893,0.5016,0.4814,0.5188,20.03,18.02,22.1903,2.0557,2.0017,2.1101,0.0779,0.063,0.0923,8.8171,8.6614,8.9582,0.01,0.9981,199.62,78.7,,,,,,,,,,,,,,,
lt_lzpenalty,100,0.5308,0.4139,0.6599,0.3543,0.2841,0.4149,153.56,117.155,192.5302,1.4652,1.2053,1.6643,0.0836,0.0703,0.0964,8.0391,7.3742,8.5513,0.25,0.8884,177.68,15.3,,,,,,,,,,,,,,,
lt_risk_only,100,0.8379,0.7684,0.8957,0.2055,0.1645,0.2511,261.64,235.4928,283.1415,0.8467,0.69,1.0211,0.0633,0.0453,0.0796,7.047,6.5803,7.4901,0.22,0.9033,180.66,80.9,0.0138,0.011,0.0168,0.6754,0.5853,0.7514,3.0,3.0,3.0,,,,,,
lt_adaptive,100,0.8354,0.7777,0.8844,0.2121,0.1718,0.254,253.03,231.3852,271.5832,0.884,0.7345,1.0455,0.0642,0.0472,0.0806,7.1113,6.6793,7.5156,0.19,0.9353,187.06,70.9,0.0342,0.0247,0.0459,0.6589,0.5766,0.7322,5.8947,4.7633,7.0339,,,,,,
lt_dual_eps0.01,100,0.0001,0.0,0.0003,0.5528,0.5353,0.5676,13.8,12.9195,14.6202,2.5527,2.4872,2.6196,0.0719,0.0569,0.0862,9.0594,8.9808,9.1302,0.0,1.0,200.0,65.1,6.721,5.9122,7.518,0.0024,0.0021,0.0028,16.6642,14.675,18.6692,1.0,1.0,1.0,0.0,0.0,0.0
lt_dual_eps0.05,100,0.0027,0.0019,0.0035,0.5386,0.5186,0.5549,15.41,14.41,16.4203,2.5249,2.4412,2.6116,0.0677,0.0562,0.0798,8.9991,8.9015,9.0885,0.0,1.0,200.0,63.0,6.3492,5.6296,7.1133,0.0124,0.0107,0.0143,15.9548,14.194,17.8389,1.0,1.0,1.0,0.0,0.0,0.0
