strategy,category,checkpoint,rmst_persistent,rmst_ngram8,rmst_ngram10,rmst_ngram12,rmst_ngram16,rmst_lrs20,rmst_compress,loop_rate_persistent,loop_rate_ngram8,loop_rate_ngram10,loop_rate_ngram12,loop_rate_ngram16,loop_rate_lrs20,loop_rate_compress
greedy,baseline,baseline,318.55,22.4,24.2,24.2,28.15,56.35,170.0,0.6,1.0,1.0,1.0,1.0,1.0,0.8667
lt_temp_0.05,loop_regime,baseline,333.45,21.7,29.0,31.55,36.15,68.0,226.8,0.46,1.0,1.0,1.0,1.0,1.0,0.7
lt_temp_0.1,loop_regime,baseline,476.45,34.15,45.25,49.6,58.95,96.25,444.35,0.06,1.0,1.0,1.0,1.0,1.0,0.1467
lt_temp_0.15,loop_regime,baseline,488.2,42.8,66.55,76.95,106.75,184.1,500.0,0.04,1.0,1.0,1.0,1.0,0.94,0.0
lt_rep_penalty_1.3,loop_regime,baseline,498.25,76.95,100.7,121.55,173.85,250.05,500.0,0.0067,1.0,1.0,1.0,1.0,0.9933,0.0
lt_no_repeat_4gram,loop_regime_hard,baseline,500.0,500.0,500.0,500.0,500.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lt_suffixmatch_a3.0,loop_regime,baseline,500.0,116.95,355.75,440.5,485.0,495.75,500.0,0.0,1.0,0.9133,0.6533,0.2867,0.1267,0.0
lt_fsd,loop_regime,baseline,500.0,497.95,500.0,500.0,500.0,500.0,500.0,0.0,0.0267,0.0,0.0,0.0,0.0,0.0
lt_lzpenalty,loop_regime,baseline,500.0,90.75,152.65,187.1,293.7,386.55,500.0,0.0,1.0,1.0,1.0,0.92,0.6733,0.0
lt_risk_only,loop_regime_rr,baseline,500.0,48.85,78.05,90.1,124.55,213.25,497.4,0.0,1.0,1.0,1.0,1.0,0.9733,0.0067
lt_adaptive,loop_regime_rr,baseline,500.0,49.1,92.55,117.3,171.9,316.25,500.0,0.0,1.0,1.0,1.0,0.9933,0.86,0.0
lt_dual_eps0.01,loop_regime_rr,baseline,500.0,500.0,500.0,500.0,500.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lt_dual_eps0.05,loop_regime_rr,baseline,500.0,500.0,500.0,500.0,500.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
