strategy,category,checkpoint,key,n_samples,ttr_mean,ttr_lo,ttr_hi,entropy_4gram_mean,entropy_4gram_lo,entropy_4gram_hi,rep_rate_5_mean,rep_rate_5_lo,rep_rate_5_hi,rep_mass_2_mean,rep_mass_2_lo,rep_mass_2_hi,rep_mass_3_mean,rep_mass_3_lo,rep_mass_3_hi,rep_mass_4_mean,rep_mass_4_lo,rep_mass_4_hi,rep_mass_5_mean,rep_mass_5_lo,rep_mass_5_hi,rep_mass_6_mean,rep_mass_6_lo,rep_mass_6_hi,longest_rep_sub_mean,longest_rep_sub_lo,longest_rep_sub_hi,compression_mean,compression_lo,compression_hi,mc_nll_bpc_mean,mc_nll_bpc_lo,mc_nll_bpc_hi,ngram_sim_4_mean,ngram_sim_4_lo,ngram_sim_4_hi,spelling_error_mean,spelling_error_lo,spelling_error_hi,loop_rate_persistent,survival_auc_persistent,rmst_persistent,loop_rate_ngram8,survival_auc_ngram8,rmst_ngram8,loop_rate_ngram10,survival_auc_ngram10,rmst_ngram10,loop_rate_ngram12,survival_auc_ngram12,rmst_ngram12,loop_rate_ngram16,survival_auc_ngram16,rmst_ngram16,loop_rate_lrs20,survival_auc_lrs20,rmst_lrs20,loop_rate_compress,survival_auc_compress,rmst_compress,chars_per_sec,kl_bits_mean,kl_bits_lo,kl_bits_hi,entropy_q_mean,entropy_q_lo,entropy_q_hi,entropy_p_mean,entropy_p_lo,entropy_p_hi,risk_achieved_mean,risk_achieved_lo,risk_achieved_hi,lambda_mean_mean,lambda_mean_lo,lambda_mean_hi,dual_feasible_rate_mean,dual_feasible_rate_lo,dual_feasible_rate_hi,dual_structurally_infeasible_rate_mean,dual_structurally_infeasible_rate_lo,dual_structurally_infeasible_rate_hi,dual_min_risk_mean_mean,dual_min_risk_mean_lo,dual_min_risk_mean_hi,dual_violation_mean_mean,dual_violation_mean_lo,dual_violation_mean_hi,dual_violation_max_mean,dual_violation_max_lo,dual_violation_max_hi,dual_tolerance_mean_mean,dual_tolerance_mean_lo,dual_tolerance_mean_hi,dual_n_doublings_mean_mean,dual_n_doublings_mean_lo,dual_n_doublings_mean_hi,dual_n_doublings_max_mean,dual_n_doublings_max_lo,dual_n_doublings_max_hi
greedy,baseline,baseline,True,150,0.162,0.1505,0.1751,5.5944,5.4872,5.7037,0.7655,0.7519,0.7785,0.9438,0.9341,0.9535,0.9062,0.8914,0.9201,0.8875,0.8707,0.903,0.8718,0.8531,0.8891,0.858,0.8384,0.877,90.0,77.6617,104.0017,0.2344,0.2252,0.2443,1.1109,1.0707,1.1473,0.139,0.1351,0.1429,0.0043,0.0018,0.0074,0.6,0.6371,318.55,1.0,0.0448,22.4,1.0,0.0484,24.2,1.0,0.0484,24.2,1.0,0.0563,28.15,1.0,0.1127,56.35,0.8667,0.34,170.0,98.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_temp_0.05,loop_regime,baseline,False,50,0.1827,0.1776,0.1883,5.886,5.8074,5.9599,0.7301,0.7222,0.7361,0.9456,0.9412,0.95,0.902,0.8945,0.9096,0.8763,0.8672,0.8851,0.8543,0.8446,0.8638,0.8318,0.8221,0.8413,59.66,57.16,63.6,0.2656,0.2632,0.2682,1.0839,1.0691,1.1015,0.1526,0.1496,0.1557,0.0042,0.0025,0.0063,0.46,0.6669,333.45,1.0,0.0434,21.7,1.0,0.058,29.0,1.0,0.0631,31.55,1.0,0.0723,36.15,1.0,0.136,68.0,0.7,0.4536,226.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_temp_0.1,loop_regime,baseline,True,150,0.2471,0.2411,0.2538,6.5535,6.5253,6.5854,0.6149,0.6074,0.6213,0.9363,0.9331,0.9396,0.8594,0.8536,0.8652,0.8109,0.8029,0.8187,0.7724,0.7632,0.7814,0.7338,0.7239,0.7434,42.3133,41.3395,43.3068,0.3299,0.3263,0.3336,1.0577,1.051,1.066,0.1844,0.1826,0.1863,0.0093,0.0078,0.0111,0.06,0.9529,476.45,1.0,0.0683,34.15,1.0,0.0905,45.25,1.0,0.0992,49.6,1.0,0.1179,58.95,1.0,0.1925,96.25,0.1467,0.8887,444.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_temp_0.15,loop_regime,baseline,False,50,0.3125,0.2999,0.3269,7.0361,6.9721,7.1002,0.5061,0.4871,0.5234,0.9224,0.9182,0.9281,0.8086,0.7934,0.8274,0.7312,0.7075,0.7567,0.6723,0.6446,0.6985,0.6187,0.5936,0.6438,29.2,28.28,29.9,0.3856,0.3773,0.3939,1.061,1.0575,1.0643,0.2084,0.2049,0.2127,0.0167,0.0141,0.0191,0.04,0.9764,488.2,1.0,0.0856,42.8,1.0,0.1331,66.55,1.0,0.1539,76.95,1.0,0.2135,106.75,0.94,0.3682,184.1,0.0,1.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_rep_penalty_1.3,loop_regime,baseline,True,150,0.3666,0.3606,0.373,7.2711,7.2379,7.3044,0.4509,0.4439,0.4584,0.8853,0.8832,0.8874,0.7503,0.7457,0.7547,0.6669,0.6605,0.6737,0.6058,0.5983,0.614,0.5504,0.541,0.5603,28.3533,27.3332,29.2603,0.4407,0.4366,0.4448,1.0808,1.0726,1.0885,0.2238,0.2215,0.2261,0.0102,0.0084,0.0121,0.0067,0.9965,498.25,1.0,0.1539,76.95,1.0,0.2014,100.7,1.0,0.2431,121.55,1.0,0.3477,173.85,0.9933,0.5001,250.05,0.0,1.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_no_repeat_4gram,loop_regime_hard,baseline,True,150,0.9216,0.9166,0.9263,8.9571,8.9571,8.9571,0.0,0.0,0.0,0.8103,0.8073,0.8132,0.4024,0.3995,0.405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.607,0.605,0.6091,1.7858,1.7747,1.7974,0.2485,0.2459,0.2511,0.1474,0.1429,0.152,0.0,1.0,500.0,0.0,1.0,500.0,0.0,1.0,500.0,0.0,1.0,500.0,0.0,1.0,500.0,0.0,1.0,500.0,0.0,1.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_suffixmatch_a3.0,loop_regime,baseline,True,150,0.5009,0.4963,0.5052,8.0807,8.0598,8.0983,0.2046,0.2007,0.2091,0.8735,0.8711,0.8757,0.614,0.6098,0.6182,0.4283,0.4234,0.4336,0.3104,0.3053,0.3161,0.2131,0.2083,0.2182,14.5133,13.7333,15.4338,0.5249,0.5217,0.5276,1.0544,1.05,1.059,0.2832,0.2816,0.2847,0.0243,0.0219,0.027,0.0,1.0,500.0,1.0,0.2339,116.95,0.9133,0.7115,355.75,0.6533,0.881,440.5,0.2867,0.97,485.0,0.1267,0.9915,495.75,0.0,1.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_fsd,loop_regime,baseline,True,150,0.7382,0.7325,0.7435,8.7546,8.7461,8.7619,0.0241,0.0225,0.0259,0.8217,0.8186,0.8249,0.4,0.3956,0.4046,0.1377,0.1334,0.1424,0.0424,0.0399,0.0453,0.0075,0.0066,0.0086,6.0133,5.9332,6.1,0.619,0.6162,0.6217,1.2511,1.244,1.2585,0.3021,0.3006,0.3038,0.0416,0.0379,0.0455,0.0,1.0,500.0,0.0267,0.9959,497.95,0.0,1.0,500.0,0.0,1.0,500.0,0.0,1.0,500.0,0.0,1.0,500.0,0.0,1.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_lzpenalty,loop_regime,baseline,True,150,0.435,0.428,0.4429,7.8777,7.8566,7.8971,0.32,0.313,0.3272,0.8879,0.8851,0.8906,0.7048,0.697,0.712,0.5861,0.5761,0.5957,0.4953,0.4846,0.506,0.4155,0.4041,0.4275,22.7467,21.6932,23.6603,0.4874,0.4841,0.4906,1.0337,1.0294,1.0382,0.2517,0.2496,0.2537,0.0191,0.0166,0.0213,0.0,1.0,500.0,1.0,0.1815,90.75,1.0,0.3053,152.65,1.0,0.3742,187.1,0.92,0.5874,293.7,0.6733,0.7731,386.55,0.0,1.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_risk_only,loop_regime_rr,baseline,True,150,0.325,0.3185,0.3317,7.1224,7.0809,7.1605,0.4774,0.4696,0.4854,0.9196,0.9172,0.9217,0.7891,0.7833,0.7947,0.6997,0.6917,0.7075,0.6342,0.6255,0.6427,0.5731,0.5641,0.5821,28.3267,27.5733,29.0933,0.3995,0.3953,0.4031,1.0623,1.0573,1.0669,0.2159,0.2132,0.2184,0.0145,0.0131,0.0158,0.0,1.0,500.0,1.0,0.0977,48.85,1.0,0.1561,78.05,1.0,0.1802,90.1,1.0,0.2491,124.55,0.9733,0.4265,213.25,0.0067,0.9948,497.4,,0.0411,0.0401,0.0422,0.2834,0.2803,0.2865,0.2261,0.2239,0.2284,0.5222,0.5147,0.5297,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
