strategy,category,checkpoint,hard_constraint,survival_auc_persistent,rmst_persistent,loop_rate_persistent,survival_auc_ngram10_RETRACTED_DO_NOT_USE,rmst_ngram10_RETRACTED_DO_NOT_USE,loop_rate_ngram10_RETRACTED_DO_NOT_USE,mc_nll_bpc,ngram_sim_4,spelling_error,compression,longest_rep_sub,chars_per_sec
greedy,baseline,cosine,False,0.2608,130.4,0.9333,0.0567,28.35,1.0,0.8199,0.0893,0.0021,0.1371,242.0,133.9
lt_temp_0.05,loop_regime,cosine,False,0.3396,169.8,0.86,0.0705,35.25,1.0,0.8312,0.1161,0.004,0.2156,76.2,
lt_temp_0.1,loop_regime,cosine,False,0.8089,404.45,0.2867,0.077,38.5,1.0,0.8863,0.1554,0.0028,0.301,48.9333,
lt_temp_0.15,loop_regime,cosine,False,1.0,500.0,0.0,0.1148,57.4,1.0,0.9259,0.1813,0.0053,0.3595,35.94,
lt_rep_penalty_1.3,loop_regime,cosine,False,0.9728,486.4,0.0467,0.2035,101.75,1.0,0.9502,0.1987,0.0065,0.4142,36.5133,
lt_no_repeat_4gram,loop_regime_hard,cosine,False,1.0,500.0,0.0,1.0,500.0,0.0,1.7221,0.2495,0.1347,0.6081,3.0,
lt_suffixmatch_a3.0,loop_regime,cosine,False,1.0,500.0,0.0,0.76,380.0,0.8933,1.017,0.2671,0.0151,0.5294,14.9267,
lt_fsd,loop_regime,cosine,False,1.0,500.0,0.0,0.9994,499.7,0.0133,1.2184,0.2994,0.0428,0.6278,6.16,
lt_lzpenalty,loop_regime,cosine,False,1.0,500.0,0.0,0.2811,140.55,1.0,0.9972,0.2469,0.0158,0.4921,23.8667,
lt_risk_only,loop_regime_rr,cosine,False,0.9857,492.85,0.0267,0.1405,70.25,1.0,0.9339,0.1886,0.0044,0.3812,32.9333,
lt_adaptive,loop_regime_rr,cosine,False,1.0,500.0,0.0,0.1713,85.65,1.0,0.9601,0.2125,0.0066,0.4283,26.0467,
lt_dual_eps0.01,loop_regime_rr,cosine,False,1.0,500.0,0.0,1.0,500.0,0.0,2.0537,0.1927,0.1925,0.6732,3.04,
lt_dual_eps0.05,loop_regime_rr,cosine,False,1.0,500.0,0.0,1.0,500.0,0.0,1.9375,0.2121,0.1804,0.6721,3.7067,
