strategy,n_samples,rep_mass_3_mean,rep_mass_3_lo,rep_mass_3_hi,compression_mean,compression_lo,compression_hi,longest_rep_sub_mean,longest_rep_sub_lo,longest_rep_sub_hi,spelling_error_mean,spelling_error_lo,spelling_error_hi,entropy_4char_mean,entropy_4char_lo,entropy_4char_hi,mc_nll_bits_mean,mc_nll_bits_lo,mc_nll_bits_hi,kl_bits_mean,kl_bits_lo,kl_bits_hi,risk_achieved_mean,risk_achieved_lo,risk_achieved_hi,latency_ms_mean,latency_ms_lo,latency_ms_hi,loop_rate_persistent,survival_auc_persistent,rmst_persistent,tokens_per_sec,lambda_mean_mean,lambda_mean_lo,lambda_mean_hi,dual_feasible_rate_mean,dual_feasible_rate_lo,dual_feasible_rate_hi,dual_structurally_infeasible_rate_mean,dual_structurally_infeasible_rate_lo,dual_structurally_infeasible_rate_hi,dual_near_boundary_rate_mean,dual_near_boundary_rate_lo,dual_near_boundary_rate_hi
greedy,50,0.502,0.3135,0.7203,0.4025,0.299,0.485,104.5,44.8975,179.51,0.0803,0.0668,0.0944,7.5763,6.9874,8.0907,0.7247,0.5519,0.8926,0.0509,0.0353,0.0664,0.3924,0.2253,0.5962,0.4009,0.3717,0.4358,0.1,0.9667,145.0,5.09,,,,,,,,,,,,
temperature_reference,50,0.6253,0.5092,0.7614,0.3507,0.2824,0.4087,154.3,112.574,205.054,0.0768,0.0632,0.0919,7.4175,7.0664,7.7518,0.727,0.6028,0.8488,0.0,0.0,0.0,0.4728,0.3619,0.603,1.4715,1.4369,1.5102,0.04,0.9919,148.78,9.18,,,,,,,,,,,,
lt_temp_0.05,50,0.5489,0.4134,0.6992,0.3803,0.3044,0.439,128.24,82.0365,185.3655,0.0853,0.0738,0.0992,7.5074,7.1394,7.8516,0.7242,0.5855,0.851,0.0128,0.0096,0.0156,0.4215,0.3026,0.5578,1.4312,1.4153,1.4459,0.06,0.9811,147.16,9.25,,,,,,,,,,,,
lt_temp_0.1,50,0.6253,0.5092,0.7614,0.3507,0.2824,0.4087,154.3,112.574,205.054,0.0768,0.0632,0.0919,7.4175,7.0664,7.7518,0.727,0.6028,0.8488,0.0,0.0,0.0,0.4728,0.3619,0.603,1.4329,1.4143,1.4485,0.04,0.9919,148.78,9.25,,,,,,,,,,,,
lt_temp_0.15,50,0.6211,0.5052,0.7539,0.36,0.2872,0.4197,157.44,116.3485,205.6405,0.0997,0.0834,0.1123,7.48,7.1406,7.7704,0.7557,0.6229,0.8832,0.014,0.0109,0.017,0.4617,0.3584,0.5888,1.4911,1.4259,1.5732,0.1,0.9743,146.15,9.24,,,,,,,,,,,,
lt_rep_penalty_1.3,50,0.0153,0.0104,0.0204,0.6404,0.6332,0.6474,10.34,9.54,11.1605,0.1486,0.1357,0.1611,9.1589,9.1246,9.1946,1.9756,1.9097,2.0404,8.0589,7.7268,8.3681,0.0112,0.0084,0.0141,20.2144,19.7433,20.7483,0.0,1.0,150.0,7.15,,,,,,,,,,,,
lt_no_repeat_3gram,50,0.0,0.0,0.0,0.5473,0.5244,0.568,16.22,14.8595,17.761,0.1049,0.0927,0.1166,8.4373,8.3631,8.5138,1.4791,1.4033,1.5659,4.4998,3.6083,5.4688,0.0531,0.0472,0.0595,1.4813,1.4774,1.4856,0.0,1.0,150.0,9.24,,,,,,,,,,,,
lt_suffixmatch_a3.0,50,0.3878,0.27,0.5268,0.452,0.386,0.5077,50.82,29.6,78.2645,0.0926,0.0775,0.1131,7.9095,7.6039,8.2045,0.8978,0.7946,0.9995,0.2416,0.1004,0.4463,0.2806,0.1899,0.387,1.495,1.4791,1.5155,0.04,0.9872,148.08,9.24,,,,,,,,,,,,
lt_fsd,50,0.0759,0.0618,0.0934,0.5618,0.5386,0.586,17.42,15.68,19.3405,0.1107,0.0935,0.13,8.5692,8.4796,8.6626,1.1531,1.0795,1.2415,1.6905,1.3705,2.0591,0.061,0.0508,0.0705,1.7056,1.6922,1.7207,0.0,1.0,150.0,9.22,,,,,,,,,,,,
lt_lzpenalty,50,0.3005,0.1998,0.4537,0.4946,0.4156,0.5486,68.24,34.2375,120.462,0.1031,0.0895,0.1165,8.2774,7.9112,8.5405,1.0195,0.8569,1.1452,1.244,0.9556,1.451,0.2189,0.1317,0.3611,32.3656,32.1104,32.6615,0.06,0.9924,148.86,7.17,,,,,,,,,,,,
