strategy,n_samples,rep_mass_3_mean,rep_mass_3_lo,rep_mass_3_hi,compression_mean,compression_lo,compression_hi,longest_rep_sub_mean,longest_rep_sub_lo,longest_rep_sub_hi,spelling_error_mean,spelling_error_lo,spelling_error_hi,entropy_4char_mean,entropy_4char_lo,entropy_4char_hi,mc_nll_bits_mean,mc_nll_bits_lo,mc_nll_bits_hi,kl_bits_mean,kl_bits_lo,kl_bits_hi,risk_achieved_mean,risk_achieved_lo,risk_achieved_hi,latency_ms_mean,latency_ms_lo,latency_ms_hi,loop_rate_persistent,survival_auc_persistent,rmst_persistent,tokens_per_sec,lambda_mean_mean,lambda_mean_lo,lambda_mean_hi,dual_feasible_rate_mean,dual_feasible_rate_lo,dual_feasible_rate_hi,dual_structurally_infeasible_rate_mean,dual_structurally_infeasible_rate_lo,dual_structurally_infeasible_rate_hi,dual_near_boundary_rate_mean,dual_near_boundary_rate_lo,dual_near_boundary_rate_hi
greedy,50,0.6014,0.3554,0.8378,0.3462,0.2313,0.4756,194.2,110.495,272.1,0.0948,0.0684,0.1233,7.6217,7.0006,8.2704,0.9992,0.7991,1.2257,0.058,0.0383,0.0783,0.4691,0.2591,0.6536,0.4069,0.3989,0.4143,0.1,0.964,144.6,35.92,,,,,,,,,,,,
temperature_reference,50,0.6535,0.5517,0.7539,0.3266,0.2669,0.3833,188.04,153.4195,227.1625,0.1012,0.0824,0.1219,7.5777,7.2133,7.8979,0.979,0.8574,1.0882,0.0,0.0,0.0,0.4882,0.3998,0.5816,1.5184,1.5111,1.5263,0.12,0.9631,144.47,39.91,,,,,,,,,,,,
lt_temp_0.05,50,0.61,0.4266,0.7739,0.3425,0.2489,0.4418,173.8,111.0765,234.949,0.0852,0.0622,0.1124,7.5838,7.076,8.0825,0.9935,0.8503,1.1301,0.0171,0.0126,0.022,0.46,0.3064,0.6079,1.5338,1.5214,1.5467,0.14,0.9544,143.16,39.94,,,,,,,,,,,,
lt_temp_0.1,50,0.6535,0.5517,0.7539,0.3266,0.2669,0.3833,188.04,153.4195,227.1625,0.1012,0.0824,0.1219,7.5777,7.2133,7.8979,0.979,0.8574,1.0882,0.0,0.0,0.0,0.4882,0.3998,0.5816,1.5341,1.5272,1.5424,0.12,0.9631,144.47,39.9,,,,,,,,,,,,
lt_temp_0.15,50,0.6365,0.5328,0.737,0.3281,0.2783,0.3804,186.54,143.022,227.011,0.111,0.0865,0.1395,7.5248,7.2394,7.7855,1.0369,0.9437,1.1402,0.018,0.0154,0.0202,0.4743,0.394,0.5523,1.5447,1.526,1.5677,0.1,0.9757,146.35,39.69,,,,,,,,,,,,
lt_rep_penalty_1.3,50,0.0859,0.053,0.1293,0.5682,0.5472,0.585,23.52,18.7395,30.4205,0.1311,0.1099,0.1519,8.8553,8.7562,8.937,1.5097,1.4052,1.592,2.2125,1.8215,2.5133,0.0553,0.0379,0.0791,15.2199,14.8659,15.5064,0.0,1.0,150.0,24.96,,,,,,,,,,,,
lt_no_repeat_3gram,50,0.0,0.0,0.0,0.5186,0.4886,0.5483,17.46,16.36,18.7,0.1095,0.0969,0.1204,8.6015,8.5179,8.6759,1.7115,1.6536,1.7635,2.8711,2.2967,3.4878,0.0485,0.0417,0.0553,1.5736,1.5657,1.581,0.0,1.0,150.0,39.69,,,,,,,,,,,,
lt_suffixmatch_a3.0,50,0.3942,0.3021,0.4952,0.4301,0.3821,0.4798,56.38,45.8775,71.42,0.1143,0.0948,0.1365,8.1082,7.8844,8.311,1.2698,1.1929,1.3445,0.2226,0.1507,0.2992,0.2643,0.2045,0.3285,1.5743,1.5625,1.5899,0.0,1.0,150.0,39.69,,,,,,,,,,,,
lt_fsd,50,0.0374,0.0255,0.0519,0.559,0.542,0.5791,17.42,16.06,18.6,0.1096,0.0991,0.1219,8.7454,8.7036,8.7828,1.5029,1.421,1.5768,1.5096,1.2771,1.7437,0.0363,0.0312,0.0419,1.9598,1.9194,1.992,0.0,1.0,150.0,38.12,,,,,,,,,,,,
lt_lzpenalty,50,0.1988,0.1594,0.238,0.5085,0.4869,0.5302,43.14,35.9995,50.8215,0.1158,0.0987,0.1343,8.6085,8.5091,8.7058,1.5143,1.4146,1.5939,2.1235,1.7077,2.4593,0.1274,0.1011,0.1524,90.7099,90.1928,91.2211,0.0,1.0,150.0,8.56,,,,,,,,,,,,
lt_risk_only,50,0.5549,0.46,0.6476,0.3668,0.3096,0.4243,153.86,122.494,188.156,0.1082,0.0879,0.1303,7.7772,7.4217,8.0635,1.0833,0.9657,1.1748,0.0148,0.0108,0.0183,0.4032,0.3252,0.4878,3.274,3.2597,3.2893,0.12,0.9748,146.22,37.67,3.0,3.0,3.0,,,,,,,,,
lt_adaptive,50,0.5751,0.4623,0.6887,0.3636,0.3047,0.4232,151.42,114.6595,189.8425,0.1076,0.0853,0.1302,7.7946,7.4835,8.0921,1.0701,0.9839,1.1514,0.0269,0.0176,0.0368,0.4116,0.3221,0.5048,3.35,3.3086,3.3909,0.02,0.9973,149.59,37.29,3.8863,3.1103,4.7458,,,,,,,,,
lt_dual_eps0.01,50,0.0003,0.0,0.0008,0.5807,0.5611,0.6032,12.98,11.62,14.26,0.1035,0.0888,0.118,8.8569,8.8332,8.88,1.8663,1.8077,1.9303,4.5902,4.0123,5.2077,0.0016,0.0014,0.0018,5.6491,5.3768,5.8942,0.0,1.0,150.0,36.13,11.3771,10.144,12.6738,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
lt_dual_eps0.05,50,0.0024,0.0011,0.0041,0.5789,0.5592,0.6023,13.98,12.7,15.24,0.1032,0.0869,0.1213,8.8424,8.8128,8.8687,1.8575,1.7823,1.9368,4.389,3.6451,5.1908,0.0081,0.0072,0.0089,5.641,5.4212,5.8675,0.0,1.0,150.0,34.91,11.2985,9.5789,13.1288,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
