step,train_loss,val_loss,train_bpc,val_bpc,seconds
1,4.709599,4.437456,6.7945,6.4019,4.6
500,2.365653,2.652613,3.4129,3.8269,22.9
1000,2.089898,2.417303,3.0151,3.4874,41.6
1500,1.891671,2.172631,2.7291,3.1344,59.0
2000,1.626304,2.079296,2.3463,2.9998,76.4
2500,1.533936,2.019188,2.2130,2.9131,93.7
3000,1.379347,1.981263,1.9900,2.8584,111.1
3500,1.430557,1.952238,2.0639,2.8165,128.6
4000,1.510073,1.913419,2.1786,2.7605,146.4
4500,1.333836,1.918709,1.9243,2.7681,163.8
5000,1.371159,1.913642,1.9782,2.7608,181.2
5500,1.276039,1.879911,1.8409,2.7121,199.1
6000,1.277039,1.910609,1.8424,2.7564,218.6
6500,1.282344,1.887510,1.8500,2.7231,239.1
7000,1.194604,1.889718,1.7234,2.7263,262.7
7500,1.233361,1.863978,1.7794,2.6892,287.3
8000,1.214724,1.869483,1.7525,2.6971,311.9
8500,1.225608,1.874717,1.7682,2.7046,335.2
9000,1.158844,1.872536,1.6719,2.7015,356.7
9500,1.178387,1.867492,1.7001,2.6942,376.8
10000,1.131117,1.858568,1.6319,2.6813,396.8
10500,1.142694,1.840895,1.6486,2.6559,415.7
11000,1.197320,1.835681,1.7274,2.6483,434.5
11500,1.174699,1.843794,1.6947,2.6600,452.9
12000,1.167547,1.835010,1.6844,2.6474,471.3
12500,1.142028,1.819545,1.6476,2.6250,489.6
13000,1.235147,1.817969,1.7819,2.6228,507.5
13500,1.090088,1.828523,1.5727,2.6380,525.2
14000,1.127607,1.824760,1.6268,2.6326,543.1
14500,1.146550,1.824171,1.6541,2.6317,561.0
15000,1.179070,1.808744,1.7010,2.6095,578.9
15500,1.106372,1.829923,1.5962,2.6400,596.8
16000,1.170139,1.840134,1.6882,2.6548,614.7
16500,1.188288,1.821377,1.7143,2.6277,633.0
17000,1.109519,1.836252,1.6007,2.6492,651.0
17500,1.117852,1.826284,1.6127,2.6348,669.0
18000,1.124628,1.818196,1.6225,2.6231,687.0
18500,1.088549,1.800313,1.5704,2.5973,705.6
19000,1.139114,1.789766,1.6434,2.5821,724.5
19500,1.135182,1.808829,1.6377,2.6096,743.3
20000,1.105307,1.793584,1.5946,2.5876,761.8
