strategy,R,P_max,loop_rate,ci_lo,ci_hi,n
greedy,3,30,1.0,1.0,1.0,150
greedy,3,45,1.0,1.0,1.0,150
greedy,3,60,1.0,1.0,1.0,150
greedy,3,90,1.0,1.0,1.0,150
greedy,3,120,1.0,1.0,1.0,150
greedy,4,30,1.0,1.0,1.0,150
greedy,4,45,1.0,1.0,1.0,150
greedy,4,60,1.0,1.0,1.0,150
greedy,4,90,1.0,1.0,1.0,150
greedy,4,120,1.0,1.0,1.0,150
greedy,5,30,0.9333,0.8,1.0,150
greedy,5,45,0.9333,0.8,1.0,150
greedy,5,60,0.9333,0.8,1.0,150
greedy,5,90,0.9333,0.8,1.0,150
greedy,5,120,0.9333,0.8,1.0,150
greedy,6,30,0.9333,0.8,1.0,150
greedy,6,45,0.9333,0.8,1.0,150
greedy,6,60,0.9333,0.8,1.0,150
greedy,6,90,0.9333,0.8,1.0,150
greedy,6,120,0.9333,0.8,1.0,150
greedy,7,30,0.9333,0.8,1.0,150
greedy,7,45,0.9333,0.8,1.0,150
greedy,7,60,0.9333,0.8,1.0,150
greedy,7,90,0.9333,0.8,1.0,150
greedy,7,120,0.9333,0.8,1.0,150
lt_temp_0.05,3,30,1.0,1.0,1.0,50
lt_temp_0.05,3,45,1.0,1.0,1.0,50
lt_temp_0.05,3,60,1.0,1.0,1.0,50
lt_temp_0.05,3,90,1.0,1.0,1.0,50
lt_temp_0.05,3,120,1.0,1.0,1.0,50
lt_temp_0.05,4,30,0.9,0.78,1.0,50
lt_temp_0.05,4,45,0.9,0.78,1.0,50
lt_temp_0.05,4,60,0.9,0.78,1.0,50
lt_temp_0.05,4,90,0.9,0.78,1.0,50
lt_temp_0.05,4,120,0.9,0.78,1.0,50
lt_temp_0.05,5,30,0.86,0.76,0.94,50
lt_temp_0.05,5,45,0.86,0.76,0.94,50
lt_temp_0.05,5,60,0.86,0.76,0.94,50
lt_temp_0.05,5,90,0.86,0.76,0.94,50
lt_temp_0.05,5,120,0.86,0.76,0.94,50
lt_temp_0.05,6,30,0.76,0.66,0.84,50
lt_temp_0.05,6,45,0.76,0.66,0.84,50
lt_temp_0.05,6,60,0.76,0.66,0.84,50
lt_temp_0.05,6,90,0.76,0.66,0.84,50
lt_temp_0.05,6,120,0.76,0.66,0.84,50
lt_temp_0.05,7,30,0.66,0.56,0.78,50
lt_temp_0.05,7,45,0.66,0.56,0.78,50
lt_temp_0.05,7,60,0.66,0.56,0.78,50
lt_temp_0.05,7,90,0.66,0.56,0.78,50
lt_temp_0.05,7,120,0.66,0.56,0.78,50
lt_temp_0.1,3,30,0.8867,0.84,0.9333,150
lt_temp_0.1,3,45,0.8867,0.84,0.9333,150
lt_temp_0.1,3,60,0.8867,0.84,0.9333,150
lt_temp_0.1,3,90,0.8867,0.84,0.9333,150
lt_temp_0.1,3,120,0.8867,0.84,0.9333,150
lt_temp_0.1,4,30,0.5,0.4067,0.5933,150
lt_temp_0.1,4,45,0.5,0.4067,0.5933,150
lt_temp_0.1,4,60,0.5,0.4067,0.5933,150
lt_temp_0.1,4,90,0.5,0.4067,0.5933,150
lt_temp_0.1,4,120,0.5,0.4067,0.5933,150
lt_temp_0.1,5,30,0.2867,0.2133,0.3733,150
lt_temp_0.1,5,45,0.2867,0.2133,0.3733,150
lt_temp_0.1,5,60,0.2867,0.2133,0.3733,150
lt_temp_0.1,5,90,0.2867,0.2133,0.3733,150
lt_temp_0.1,5,120,0.2867,0.2133,0.3733,150
lt_temp_0.1,6,30,0.1533,0.0933,0.2133,150
lt_temp_0.1,6,45,0.1533,0.0933,0.2133,150
lt_temp_0.1,6,60,0.1533,0.0933,0.2133,150
lt_temp_0.1,6,90,0.1533,0.0933,0.2133,150
lt_temp_0.1,6,120,0.1533,0.0933,0.2133,150
lt_temp_0.1,7,30,0.0667,0.0333,0.1002,150
lt_temp_0.1,7,45,0.0667,0.0333,0.1002,150
lt_temp_0.1,7,60,0.0667,0.0333,0.1002,150
lt_temp_0.1,7,90,0.0667,0.0333,0.1002,150
lt_temp_0.1,7,120,0.0667,0.0333,0.1002,150
lt_temp_0.15,3,30,0.42,0.28,0.54,50
lt_temp_0.15,3,45,0.42,0.28,0.54,50
lt_temp_0.15,3,60,0.42,0.28,0.54,50
lt_temp_0.15,3,90,0.42,0.28,0.54,50
lt_temp_0.15,3,120,0.42,0.28,0.54,50
lt_temp_0.15,4,30,0.06,0.02,0.1,50
lt_temp_0.15,4,45,0.06,0.02,0.1,50
lt_temp_0.15,4,60,0.06,0.02,0.1,50
lt_temp_0.15,4,90,0.06,0.02,0.1,50
lt_temp_0.15,4,120,0.06,0.02,0.1,50
lt_temp_0.15,5,30,0.0,0.0,0.0,50
lt_temp_0.15,5,45,0.0,0.0,0.0,50
lt_temp_0.15,5,60,0.0,0.0,0.0,50
lt_temp_0.15,5,90,0.0,0.0,0.0,50
lt_temp_0.15,5,120,0.0,0.0,0.0,50
lt_temp_0.15,6,30,0.0,0.0,0.0,50
lt_temp_0.15,6,45,0.0,0.0,0.0,50
lt_temp_0.15,6,60,0.0,0.0,0.0,50
lt_temp_0.15,6,90,0.0,0.0,0.0,50
lt_temp_0.15,6,120,0.0,0.0,0.0,50
lt_temp_0.15,7,30,0.0,0.0,0.0,50
lt_temp_0.15,7,45,0.0,0.0,0.0,50
lt_temp_0.15,7,60,0.0,0.0,0.0,50
lt_temp_0.15,7,90,0.0,0.0,0.0,50
lt_temp_0.15,7,120,0.0,0.0,0.0,50
lt_rep_penalty_1.3,3,30,0.32,0.2467,0.3867,150
lt_rep_penalty_1.3,3,45,0.32,0.2467,0.3867,150
lt_rep_penalty_1.3,3,60,0.32,0.2467,0.3867,150
lt_rep_penalty_1.3,3,90,0.32,0.2467,0.3867,150
lt_rep_penalty_1.3,3,120,0.32,0.2467,0.3867,150
lt_rep_penalty_1.3,4,30,0.1467,0.1,0.1868,150
lt_rep_penalty_1.3,4,45,0.1467,0.1,0.1868,150
lt_rep_penalty_1.3,4,60,0.1467,0.1,0.1868,150
lt_rep_penalty_1.3,4,90,0.1467,0.1,0.1868,150
lt_rep_penalty_1.3,4,120,0.1467,0.1,0.1868,150
lt_rep_penalty_1.3,5,30,0.0467,0.02,0.0733,150
lt_rep_penalty_1.3,5,45,0.0467,0.02,0.0733,150
lt_rep_penalty_1.3,5,60,0.0467,0.02,0.0733,150
lt_rep_penalty_1.3,5,90,0.0467,0.02,0.0733,150
lt_rep_penalty_1.3,5,120,0.0467,0.02,0.0733,150
lt_rep_penalty_1.3,6,30,0.02,0.0,0.04,150
lt_rep_penalty_1.3,6,45,0.02,0.0,0.04,150
lt_rep_penalty_1.3,6,60,0.02,0.0,0.04,150
lt_rep_penalty_1.3,6,90,0.02,0.0,0.04,150
lt_rep_penalty_1.3,6,120,0.02,0.0,0.04,150
lt_rep_penalty_1.3,7,30,0.0067,0.0,0.02,150
lt_rep_penalty_1.3,7,45,0.0067,0.0,0.02,150
lt_rep_penalty_1.3,7,60,0.0067,0.0,0.02,150
lt_rep_penalty_1.3,7,90,0.0067,0.0,0.02,150
lt_rep_penalty_1.3,7,120,0.0067,0.0,0.02,150
lt_no_repeat_4gram,3,30,0.0,0.0,0.0,150
lt_no_repeat_4gram,3,45,0.0,0.0,0.0,150
lt_no_repeat_4gram,3,60,0.0,0.0,0.0,150
lt_no_repeat_4gram,3,90,0.0,0.0,0.0,150
lt_no_repeat_4gram,3,120,0.0,0.0,0.0,150
lt_no_repeat_4gram,4,30,0.0,0.0,0.0,150
lt_no_repeat_4gram,4,45,0.0,0.0,0.0,150
lt_no_repeat_4gram,4,60,0.0,0.0,0.0,150
lt_no_repeat_4gram,4,90,0.0,0.0,0.0,150
lt_no_repeat_4gram,4,120,0.0,0.0,0.0,150
lt_no_repeat_4gram,5,30,0.0,0.0,0.0,150
lt_no_repeat_4gram,5,45,0.0,0.0,0.0,150
lt_no_repeat_4gram,5,60,0.0,0.0,0.0,150
lt_no_repeat_4gram,5,90,0.0,0.0,0.0,150
lt_no_repeat_4gram,5,120,0.0,0.0,0.0,150
lt_no_repeat_4gram,6,30,0.0,0.0,0.0,150
lt_no_repeat_4gram,6,45,0.0,0.0,0.0,150
lt_no_repeat_4gram,6,60,0.0,0.0,0.0,150
lt_no_repeat_4gram,6,90,0.0,0.0,0.0,150
lt_no_repeat_4gram,6,120,0.0,0.0,0.0,150
lt_no_repeat_4gram,7,30,0.0,0.0,0.0,150
lt_no_repeat_4gram,7,45,0.0,0.0,0.0,150
lt_no_repeat_4gram,7,60,0.0,0.0,0.0,150
lt_no_repeat_4gram,7,90,0.0,0.0,0.0,150
lt_no_repeat_4gram,7,120,0.0,0.0,0.0,150
lt_suffixmatch_a3.0,3,30,0.0,0.0,0.0,150
lt_suffixmatch_a3.0,3,45,0.0,0.0,0.0,150
lt_suffixmatch_a3.0,3,60,0.0,0.0,0.0,150
