experiment,strategy,R,P_max,loop_rate,ci_lo,ci_hi,n
mistral,temperature_reference,3,10,0.06,0.0,0.14,50
mistral,temperature_reference,3,15,0.06,0.0,0.14,50
mistral,temperature_reference,3,20,0.1,0.02,0.18,50
mistral,temperature_reference,3,30,0.34,0.2,0.5,50
mistral,temperature_reference,3,40,0.46,0.26,0.68,50
mistral,temperature_reference,4,10,0.02,0.0,0.06,50
mistral,temperature_reference,4,15,0.02,0.0,0.06,50
mistral,temperature_reference,4,20,0.06,0.0,0.12,50
mistral,temperature_reference,4,30,0.28,0.16,0.42,50
mistral,temperature_reference,4,40,0.36,0.2,0.56,50
mistral,temperature_reference,5,10,0.0,0.0,0.0,50
mistral,temperature_reference,5,15,0.0,0.0,0.0,50
mistral,temperature_reference,5,20,0.04,0.0,0.1,50
mistral,temperature_reference,5,30,0.22,0.1,0.38,50
mistral,temperature_reference,5,40,0.22,0.1,0.38,50
mistral,temperature_reference,6,10,0.0,0.0,0.0,50
mistral,temperature_reference,6,15,0.0,0.0,0.0,50
mistral,temperature_reference,6,20,0.04,0.0,0.1,50
mistral,temperature_reference,6,30,0.16,0.04,0.32,50
mistral,temperature_reference,6,40,0.16,0.04,0.32,50
mistral,temperature_reference,7,10,0.0,0.0,0.0,50
mistral,temperature_reference,7,15,0.0,0.0,0.0,50
mistral,temperature_reference,7,20,0.0,0.0,0.0,50
mistral,temperature_reference,7,30,0.02,0.0,0.06,50
mistral,temperature_reference,7,40,0.02,0.0,0.06,50
mistral,lt_suffixmatch_a3.0,3,10,0.2,0.06,0.36,50
mistral,lt_suffixmatch_a3.0,3,15,0.2,0.06,0.36,50
mistral,lt_suffixmatch_a3.0,3,20,0.2,0.06,0.36,50
mistral,lt_suffixmatch_a3.0,3,30,0.2,0.06,0.36,50
mistral,lt_suffixmatch_a3.0,3,40,0.2,0.06,0.36,50
mistral,lt_suffixmatch_a3.0,4,10,0.06,0.0,0.16,50
mistral,lt_suffixmatch_a3.0,4,15,0.06,0.0,0.16,50
mistral,lt_suffixmatch_a3.0,4,20,0.06,0.0,0.16,50
mistral,lt_suffixmatch_a3.0,4,30,0.06,0.0,0.16,50
mistral,lt_suffixmatch_a3.0,4,40,0.06,0.0,0.16,50
mistral,lt_suffixmatch_a3.0,5,10,0.04,0.0,0.1,50
mistral,lt_suffixmatch_a3.0,5,15,0.04,0.0,0.1,50
mistral,lt_suffixmatch_a3.0,5,20,0.04,0.0,0.1,50
mistral,lt_suffixmatch_a3.0,5,30,0.04,0.0,0.1,50
mistral,lt_suffixmatch_a3.0,5,40,0.04,0.0,0.1,50
mistral,lt_suffixmatch_a3.0,6,10,0.04,0.0,0.1,50
mistral,lt_suffixmatch_a3.0,6,15,0.04,0.0,0.1,50
mistral,lt_suffixmatch_a3.0,6,20,0.04,0.0,0.1,50
mistral,lt_suffixmatch_a3.0,6,30,0.04,0.0,0.1,50
mistral,lt_suffixmatch_a3.0,6,40,0.04,0.0,0.1,50
mistral,lt_suffixmatch_a3.0,7,10,0.04,0.0,0.1,50
mistral,lt_suffixmatch_a3.0,7,15,0.04,0.0,0.1,50
mistral,lt_suffixmatch_a3.0,7,20,0.04,0.0,0.1,50
mistral,lt_suffixmatch_a3.0,7,30,0.04,0.0,0.1,50
mistral,lt_suffixmatch_a3.0,7,40,0.04,0.0,0.1,50
mistral,lt_fsd,3,10,0.12,0.0,0.26,50
mistral,lt_fsd,3,15,0.12,0.0,0.26,50
mistral,lt_fsd,3,20,0.12,0.0,0.26,50
mistral,lt_fsd,3,30,0.12,0.0,0.26,50
mistral,lt_fsd,3,40,0.12,0.0,0.26,50
mistral,lt_fsd,4,10,0.0,0.0,0.0,50
mistral,lt_fsd,4,15,0.0,0.0,0.0,50
mistral,lt_fsd,4,20,0.0,0.0,0.0,50
mistral,lt_fsd,4,30,0.0,0.0,0.0,50
mistral,lt_fsd,4,40,0.0,0.0,0.0,50
mistral,lt_fsd,5,10,0.0,0.0,0.0,50
mistral,lt_fsd,5,15,0.0,0.0,0.0,50
mistral,lt_fsd,5,20,0.0,0.0,0.0,50
mistral,lt_fsd,5,30,0.0,0.0,0.0,50
mistral,lt_fsd,5,40,0.0,0.0,0.0,50
mistral,lt_fsd,6,10,0.0,0.0,0.0,50
mistral,lt_fsd,6,15,0.0,0.0,0.0,50
mistral,lt_fsd,6,20,0.0,0.0,0.0,50
mistral,lt_fsd,6,30,0.0,0.0,0.0,50
mistral,lt_fsd,6,40,0.0,0.0,0.0,50
mistral,lt_fsd,7,10,0.0,0.0,0.0,50
mistral,lt_fsd,7,15,0.0,0.0,0.0,50
mistral,lt_fsd,7,20,0.0,0.0,0.0,50
mistral,lt_fsd,7,30,0.0,0.0,0.0,50
mistral,lt_fsd,7,40,0.0,0.0,0.0,50
mistral,lt_risk_only,3,10,0.12,0.02,0.22,50
mistral,lt_risk_only,3,15,0.12,0.02,0.22,50
mistral,lt_risk_only,3,20,0.12,0.02,0.22,50
mistral,lt_risk_only,3,30,0.24,0.1,0.42,50
mistral,lt_risk_only,3,40,0.32,0.14,0.54,50
mistral,lt_risk_only,4,10,0.04,0.0,0.1,50
mistral,lt_risk_only,4,15,0.04,0.0,0.1,50
mistral,lt_risk_only,4,20,0.04,0.0,0.1,50
mistral,lt_risk_only,4,30,0.16,0.02,0.34,50
mistral,lt_risk_only,4,40,0.22,0.02,0.44,50
mistral,lt_risk_only,5,10,0.04,0.0,0.1,50
mistral,lt_risk_only,5,15,0.04,0.0,0.1,50
mistral,lt_risk_only,5,20,0.04,0.0,0.1,50
mistral,lt_risk_only,5,30,0.14,0.02,0.28,50
mistral,lt_risk_only,5,40,0.14,0.02,0.28,50
mistral,lt_risk_only,6,10,0.04,0.0,0.1,50
mistral,lt_risk_only,6,15,0.04,0.0,0.1,50
mistral,lt_risk_only,6,20,0.04,0.0,0.1,50
mistral,lt_risk_only,6,30,0.12,0.02,0.26,50
mistral,lt_risk_only,6,40,0.12,0.02,0.26,50
mistral,lt_risk_only,7,10,0.04,0.0,0.1,50
mistral,lt_risk_only,7,15,0.04,0.0,0.1,50
mistral,lt_risk_only,7,20,0.04,0.0,0.1,50
mistral,lt_risk_only,7,30,0.04,0.0,0.1,50
mistral,lt_risk_only,7,40,0.04,0.0,0.1,50
mistral,lt_adaptive,3,10,0.1,0.02,0.18,50
mistral,lt_adaptive,3,15,0.1,0.02,0.18,50
mistral,lt_adaptive,3,20,0.1,0.02,0.18,50
mistral,lt_adaptive,3,30,0.22,0.08,0.4,50
mistral,lt_adaptive,3,40,0.28,0.12,0.46,50
mistral,lt_adaptive,4,10,0.04,0.0,0.1,50
mistral,lt_adaptive,4,15,0.04,0.0,0.1,50
mistral,lt_adaptive,4,20,0.04,0.0,0.1,50
mistral,lt_adaptive,4,30,0.16,0.02,0.34,50
mistral,lt_adaptive,4,40,0.2,0.02,0.4,50
mistral,lt_adaptive,5,10,0.04,0.0,0.1,50
mistral,lt_adaptive,5,15,0.04,0.0,0.1,50
mistral,lt_adaptive,5,20,0.04,0.0,0.1,50
mistral,lt_adaptive,5,30,0.14,0.02,0.28,50
mistral,lt_adaptive,5,40,0.14,0.02,0.28,50
mistral,lt_adaptive,6,10,0.04,0.0,0.1,50
mistral,lt_adaptive,6,15,0.04,0.0,0.1,50
mistral,lt_adaptive,6,20,0.04,0.0,0.1,50
mistral,lt_adaptive,6,30,0.12,0.02,0.26,50
mistral,lt_adaptive,6,40,0.12,0.02,0.26,50
mistral,lt_adaptive,7,10,0.04,0.0,0.1,50
mistral,lt_adaptive,7,15,0.04,0.0,0.1,50
mistral,lt_adaptive,7,20,0.04,0.0,0.1,50
mistral,lt_adaptive,7,30,0.04,0.0,0.1,50
mistral,lt_adaptive,7,40,0.04,0.0,0.1,50
mistral,lt_dual_eps0.01,3,10,0.02,0.0,0.06,50
mistral,lt_dual_eps0.01,3,15,0.02,0.0,0.06,50
mistral,lt_dual_eps0.01,3,20,0.02,0.0,0.06,50
mistral,lt_dual_eps0.01,3,30,0.02,0.0,0.06,50
mistral,lt_dual_eps0.01,3,40,0.02,0.0,0.06,50
mistral,lt_dual_eps0.01,4,10,0.0,0.0,0.0,50
