experiment,strategy,horizon,loop_rate,ci_lo,ci_hi,n
gpt2char_main,greedy,100,0.4,0.1333,0.6667,150
gpt2char_main,greedy,200,0.9333,0.8,1.0,150
gpt2char_main,greedy,300,0.9333,0.8,1.0,150
gpt2char_main,greedy,400,0.9333,0.8,1.0,150
gpt2char_main,greedy,500,0.9333,0.8,1.0,150
gpt2char_main,lt_temp_0.05,100,0.4,0.1,0.7,50
gpt2char_main,lt_temp_0.05,200,0.82,0.72,0.92,50
gpt2char_main,lt_temp_0.05,300,0.84,0.74,0.94,50
gpt2char_main,lt_temp_0.05,400,0.84,0.74,0.94,50
gpt2char_main,lt_temp_0.05,500,0.86,0.78,0.94,50
gpt2char_main,lt_temp_0.1,100,0.0733,0.04,0.1067,150
gpt2char_main,lt_temp_0.1,200,0.2067,0.16,0.26,150
gpt2char_main,lt_temp_0.1,300,0.2533,0.1933,0.3133,150
gpt2char_main,lt_temp_0.1,400,0.28,0.2067,0.3602,150
gpt2char_main,lt_temp_0.1,500,0.2867,0.2198,0.3668,150
gpt2char_main,lt_temp_0.15,100,0.0,0.0,0.0,50
gpt2char_main,lt_temp_0.15,200,0.0,0.0,0.0,50
gpt2char_main,lt_temp_0.15,300,0.0,0.0,0.0,50
gpt2char_main,lt_temp_0.15,400,0.0,0.0,0.0,50
gpt2char_main,lt_temp_0.15,500,0.0,0.0,0.0,50
gpt2char_main,lt_rep_penalty_1.3,100,0.0,0.0,0.0,150
gpt2char_main,lt_rep_penalty_1.3,200,0.02,0.0,0.04,150
gpt2char_main,lt_rep_penalty_1.3,300,0.04,0.0198,0.0667,150
gpt2char_main,lt_rep_penalty_1.3,400,0.04,0.0198,0.0667,150
gpt2char_main,lt_rep_penalty_1.3,500,0.0467,0.02,0.0733,150
gpt2char_main,lt_no_repeat_4gram,100,0.0,0.0,0.0,150
gpt2char_main,lt_no_repeat_4gram,200,0.0,0.0,0.0,150
gpt2char_main,lt_no_repeat_4gram,300,0.0,0.0,0.0,150
gpt2char_main,lt_no_repeat_4gram,400,0.0,0.0,0.0,150
gpt2char_main,lt_no_repeat_4gram,500,0.0,0.0,0.0,150
gpt2char_main,lt_suffixmatch_a3.0,100,0.0,0.0,0.0,150
gpt2char_main,lt_suffixmatch_a3.0,200,0.0,0.0,0.0,150
gpt2char_main,lt_suffixmatch_a3.0,300,0.0,0.0,0.0,150
gpt2char_main,lt_suffixmatch_a3.0,400,0.0,0.0,0.0,150
gpt2char_main,lt_suffixmatch_a3.0,500,0.0,0.0,0.0,150
gpt2char_main,lt_fsd,100,0.0,0.0,0.0,150
gpt2char_main,lt_fsd,200,0.0,0.0,0.0,150
gpt2char_main,lt_fsd,300,0.0,0.0,0.0,150
gpt2char_main,lt_fsd,400,0.0,0.0,0.0,150
gpt2char_main,lt_fsd,500,0.0,0.0,0.0,150
gpt2char_main,lt_lzpenalty,100,0.0,0.0,0.0,150
gpt2char_main,lt_lzpenalty,200,0.0,0.0,0.0,150
gpt2char_main,lt_lzpenalty,300,0.0,0.0,0.0,150
gpt2char_main,lt_lzpenalty,400,0.0,0.0,0.0,150
gpt2char_main,lt_lzpenalty,500,0.0,0.0,0.0,150
gpt2char_main,lt_risk_only,100,0.0,0.0,0.0,150
gpt2char_main,lt_risk_only,200,0.0133,0.0,0.0333,150
gpt2char_main,lt_risk_only,300,0.0133,0.0,0.0333,150
gpt2char_main,lt_risk_only,400,0.0267,0.0067,0.0533,150
gpt2char_main,lt_risk_only,500,0.0267,0.0067,0.0533,150
gpt2char_main,lt_adaptive,100,0.0,0.0,0.0,150
gpt2char_main,lt_adaptive,200,0.0,0.0,0.0,150
gpt2char_main,lt_adaptive,300,0.0,0.0,0.0,150
gpt2char_main,lt_adaptive,400,0.0,0.0,0.0,150
