strategy,category,checkpoint,hard_constraint,survival_auc_ngram10,rmst_ngram10,loop_rate_ngram10,mc_nll_bpc,ngram_sim_4,spelling_error,compression,longest_rep_sub,chars_per_sec
greedy,baseline,cosine,False,0.0668,33.4,1.0,0.8503,0.09,0.0021,0.1396,246.0,104.4
lt_temp_0.05,loop_regime,cosine,False,0.0705,35.25,1.0,0.8586,0.1161,0.004,0.2156,76.2,
lt_temp_0.1,loop_regime,cosine,False,0.077,38.5,1.0,0.9142,0.1554,0.0028,0.301,48.9333,
lt_temp_0.15,loop_regime,cosine,False,0.1148,57.4,1.0,0.9586,0.1813,0.0053,0.3595,35.94,
lt_rep_penalty_1.3,loop_regime,cosine,False,0.2035,101.75,1.0,0.9813,0.1987,0.0065,0.4142,36.5133,
lt_no_repeat_4gram,loop_regime_hard,cosine,False,1.0,500.0,0.0,1.7488,0.2495,0.1347,0.6081,3.0,
lt_lookback_a3.0,loop_regime,cosine,False,0.76,380.0,0.8933,1.0502,0.2671,0.0151,0.5294,14.9267,
lt_risk_only,loop_regime_rr,cosine,False,0.1405,70.25,1.0,0.9668,0.1886,0.0044,0.3812,32.9333,
lt_adaptive,loop_regime_rr,cosine,False,0.1713,85.65,1.0,0.9934,0.2125,0.0066,0.4283,26.0467,
lt_dual_eps0.01,loop_regime_rr,cosine,False,1.0,500.0,0.0,1.1754,0.306,0.0369,0.6183,5.6867,
lt_dual_eps0.05,loop_regime_rr,cosine,False,1.0,500.0,0.0,1.1828,0.305,0.0363,0.6143,5.9133,
