strategy,category,checkpoint,key,n_samples,ttr_mean,ttr_lo,ttr_hi,entropy_4gram_mean,entropy_4gram_lo,entropy_4gram_hi,rep_rate_5_mean,rep_rate_5_lo,rep_rate_5_hi,rep_mass_2_mean,rep_mass_2_lo,rep_mass_2_hi,rep_mass_3_mean,rep_mass_3_lo,rep_mass_3_hi,rep_mass_4_mean,rep_mass_4_lo,rep_mass_4_hi,rep_mass_5_mean,rep_mass_5_lo,rep_mass_5_hi,rep_mass_6_mean,rep_mass_6_lo,rep_mass_6_hi,longest_rep_sub_mean,longest_rep_sub_lo,longest_rep_sub_hi,compression_mean,compression_lo,compression_hi,mc_nll_bpc_mean,mc_nll_bpc_lo,mc_nll_bpc_hi,ngram_sim_4_mean,ngram_sim_4_lo,ngram_sim_4_hi,spelling_error_mean,spelling_error_lo,spelling_error_hi,loop_rate_persistent,survival_auc_persistent,rmst_persistent,loop_rate_ngram8,survival_auc_ngram8,rmst_ngram8,loop_rate_ngram10,survival_auc_ngram10,rmst_ngram10,loop_rate_ngram12,survival_auc_ngram12,rmst_ngram12,loop_rate_ngram16,survival_auc_ngram16,rmst_ngram16,loop_rate_lrs20,survival_auc_lrs20,rmst_lrs20,loop_rate_compress,survival_auc_compress,rmst_compress,chars_per_sec,kl_bits_mean,kl_bits_lo,kl_bits_hi,entropy_q_mean,entropy_q_lo,entropy_q_hi,entropy_p_mean,entropy_p_lo,entropy_p_hi,risk_achieved_mean,risk_achieved_lo,risk_achieved_hi,lambda_mean_mean,lambda_mean_lo,lambda_mean_hi,dual_feasible_rate_mean,dual_feasible_rate_lo,dual_feasible_rate_hi,dual_cap_hit_rate_mean,dual_cap_hit_rate_lo,dual_cap_hit_rate_hi,dual_min_risk_mean_mean,dual_min_risk_mean_lo,dual_min_risk_mean_hi,dual_violation_mean_mean,dual_violation_mean_lo,dual_violation_mean_hi,dual_violation_max_mean,dual_violation_max_lo,dual_violation_max_hi,dual_tolerance_mean_mean,dual_tolerance_mean_lo,dual_tolerance_mean_hi
greedy,baseline,nonfiction_baseline,True,150,0.1352,0.112,0.1584,5.5258,5.4287,5.6178,0.8126,0.7907,0.8355,0.9585,0.9467,0.9711,0.9293,0.9099,0.9493,0.9162,0.8943,0.9388,0.9065,0.8832,0.9308,0.8949,0.8706,0.9204,164.8,149.3983,179.535,0.1985,0.1831,0.2129,0.692,0.6789,0.7056,0.124,0.1151,0.133,0.0103,0.0062,0.0143,1.0,0.5387,269.35,1.0,0.0541,27.05,1.0,0.0541,27.05,1.0,0.0541,27.05,1.0,0.06,30.0,1.0,0.1313,65.65,1.0,0.7067,353.35,99.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_temp_0.05,loop_regime,nonfiction_baseline,False,50,0.1534,0.1495,0.158,5.7258,5.6821,5.7643,0.782,0.7789,0.7848,0.9558,0.9514,0.9598,0.9233,0.9163,0.9311,0.9066,0.8984,0.9157,0.8936,0.8836,0.9042,0.8802,0.8691,0.8928,103.24,91.72,114.76,0.2264,0.2236,0.2289,0.7029,0.6839,0.7224,0.135,0.1319,0.1384,0.0141,0.011,0.0177,1.0,0.6492,324.6,1.0,0.0739,36.95,1.0,0.0776,38.8,1.0,0.0776,38.8,1.0,0.0796,39.8,1.0,0.158,79.0,0.92,0.7752,387.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_temp_0.1,loop_regime,nonfiction_baseline,True,150,0.1992,0.1933,0.2052,6.0948,6.0651,6.1255,0.726,0.7193,0.7322,0.9469,0.943,0.9509,0.9044,0.8979,0.9113,0.8792,0.8715,0.8876,0.8602,0.8516,0.8693,0.8402,0.8305,0.85,62.5067,58.8465,66.369,0.269,0.2651,0.2729,0.7178,0.71,0.7251,0.1554,0.1539,0.157,0.0204,0.0166,0.0239,0.6467,0.7919,395.95,1.0,0.0665,33.25,1.0,0.071,35.5,1.0,0.0717,35.85,1.0,0.0761,38.05,1.0,0.1525,76.25,0.3867,0.9135,456.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_temp_0.15,loop_regime,nonfiction_baseline,False,50,0.2461,0.2374,0.2531,6.4168,6.3692,6.468,0.6642,0.6522,0.6752,0.9344,0.9267,0.9397,0.8727,0.8616,0.8809,0.8355,0.8215,0.8469,0.8088,0.795,0.8203,0.782,0.7688,0.7927,48.1,46.38,49.68,0.3053,0.298,0.3122,0.7439,0.734,0.7547,0.1702,0.166,0.1739,0.0255,0.0209,0.0298,0.26,0.9162,458.1,1.0,0.0764,38.2,1.0,0.0911,45.55,1.0,0.0949,47.45,1.0,0.1146,57.3,1.0,0.186,93.0,0.22,0.9532,476.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_rep_penalty_1.3,loop_regime,nonfiction_baseline,True,150,0.3,0.2931,0.3072,6.5586,6.5176,6.5991,0.6106,0.6032,0.618,0.9091,0.9063,0.9121,0.8255,0.8198,0.8313,0.7789,0.7724,0.7854,0.7452,0.7379,0.7524,0.7136,0.7057,0.7211,52.0667,50.0998,54.0873,0.3425,0.3387,0.3462,0.752,0.7452,0.7583,0.1828,0.1804,0.1853,0.0298,0.0267,0.0327,0.36,0.9165,458.25,1.0,0.1456,72.8,1.0,0.1812,90.6,1.0,0.2129,106.45,1.0,0.2824,141.2,1.0,0.3891,194.55,0.3267,0.9217,460.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_no_repeat_4gram,loop_regime_hard,nonfiction_baseline,True,150,0.9511,0.947,0.9554,8.9571,8.9571,8.9571,0.0,0.0,0.0,0.7989,0.7973,0.8005,0.3717,0.3684,0.3748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.6077,0.6067,0.6088,1.6988,1.6808,1.7144,0.2527,0.2501,0.255,0.1609,0.1536,0.167,0.0,1.0,500.0,0.0,1.0,500.0,0.0,1.0,500.0,0.0,1.0,500.0,0.0,1.0,500.0,0.0,1.0,500.0,0.0,1.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_lookback_a3.0,loop_regime,nonfiction_baseline,True,150,0.4946,0.4893,0.5,7.7042,7.6774,7.7302,0.3288,0.3214,0.3362,0.8894,0.8869,0.8921,0.6931,0.6855,0.7004,0.5672,0.5574,0.5762,0.4765,0.466,0.4864,0.3916,0.3819,0.401,20.0,19.24,20.7333,0.4758,0.4724,0.4793,0.8142,0.811,0.8178,0.2457,0.2435,0.2479,0.0385,0.0359,0.0409,0.0,1.0,500.0,1.0,0.1895,94.75,1.0,0.3153,157.65,1.0,0.4892,244.6,0.7667,0.8485,424.25,0.4333,0.9658,482.9,0.0,1.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_fsd,loop_regime,nonfiction_baseline,True,150,0.754,0.7489,0.7595,8.6971,8.688,8.7074,0.0386,0.0362,0.0407,0.8353,0.8329,0.8376,0.4209,0.4178,0.424,0.1682,0.1634,0.1723,0.0677,0.0638,0.0713,0.0231,0.021,0.0254,7.1067,6.9467,7.2935,0.6031,0.6021,0.6041,1.1444,1.1338,1.1558,0.3075,0.3057,0.3091,0.0348,0.0321,0.0376,0.0,1.0,500.0,0.2933,0.9124,456.2,0.0133,0.9977,498.85,0.0067,0.998,499.0,0.0,1.0,500.0,0.0,1.0,500.0,0.0,1.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_risk_only,loop_regime_rr,nonfiction_baseline,True,150,0.271,0.2645,0.2783,6.439,6.3946,6.4773,0.6385,0.6319,0.6455,0.9238,0.9216,0.926,0.8496,0.8446,0.855,0.8047,0.7981,0.8116,0.7724,0.7649,0.7802,0.741,0.7327,0.7501,57.64,53.506,62.1808,0.3196,0.3158,0.3233,0.7179,0.7118,0.7236,0.179,0.1769,0.1811,0.0259,0.0235,0.0281,0.5133,0.8783,439.15,1.0,0.1004,50.2,1.0,0.1252,62.6,1.0,0.1279,63.95,1.0,0.1494,74.7,1.0,0.2537,126.85,0.4133,0.9132,456.6,,0.0177,0.017,0.0183,0.1208,0.1181,0.1234,0.1056,0.1034,0.1078,0.6645,0.6584,0.6707,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
lt_adaptive,loop_regime_rr,nonfiction_baseline,True,150,0.339,0.3335,0.3441,6.8563,6.8245,6.8866,0.5469,0.5409,0.5528,0.909,0.907,0.9112,0.799,0.7936,0.8049,0.7331,0.7266,0.7399,0.6862,0.6789,0.694,0.6424,0.6344,0.6507,39.9667,38.8065,41.1068,0.3677,0.3643,0.3713,0.7368,0.7309,0.7422,0.2015,0.1997,0.2031,0.0339,0.0317,0.0361,0.2133,0.9574,478.7,1.0,0.0997,49.85,1.0,0.1279,63.95,1.0,0.1319,65.95,1.0,0.1562,78.1,1.0,0.2805,140.25,0.12,0.9815,490.75,,0.077,0.0739,0.0803,0.1375,0.1345,0.1402,0.1119,0.1098,0.1146,0.5806,0.575,0.5863,3.612,3.5559,3.6669,,,,,,,,,,,,,,,,,,
