strategy,category,checkpoint,key,n_samples,ttr_mean,ttr_lo,ttr_hi,entropy_4gram_mean,entropy_4gram_lo,entropy_4gram_hi,rep_rate_5_mean,rep_rate_5_lo,rep_rate_5_hi,rep_mass_2_mean,rep_mass_2_lo,rep_mass_2_hi,rep_mass_3_mean,rep_mass_3_lo,rep_mass_3_hi,rep_mass_4_mean,rep_mass_4_lo,rep_mass_4_hi,rep_mass_5_mean,rep_mass_5_lo,rep_mass_5_hi,rep_mass_6_mean,rep_mass_6_lo,rep_mass_6_hi,longest_rep_sub_mean,longest_rep_sub_lo,longest_rep_sub_hi,compression_mean,compression_lo,compression_hi,mc_nll_bpc_mean,mc_nll_bpc_lo,mc_nll_bpc_hi,ngram_sim_4_mean,ngram_sim_4_lo,ngram_sim_4_hi,spelling_error_mean,spelling_error_lo,spelling_error_hi,loop_rate_persistent,survival_auc_persistent,rmst_persistent,loop_rate_ngram8,survival_auc_ngram8,rmst_ngram8,loop_rate_ngram10,survival_auc_ngram10,rmst_ngram10,loop_rate_ngram12,survival_auc_ngram12,rmst_ngram12,loop_rate_ngram16,survival_auc_ngram16,rmst_ngram16,loop_rate_lrs20,survival_auc_lrs20,rmst_lrs20,loop_rate_compress,survival_auc_compress,rmst_compress,chars_per_sec,kl_bits_mean,kl_bits_lo,kl_bits_hi,entropy_q_mean,entropy_q_lo,entropy_q_hi,entropy_p_mean,entropy_p_lo,entropy_p_hi,risk_achieved_mean,risk_achieved_lo,risk_achieved_hi,lambda_mean_mean,lambda_mean_lo,lambda_mean_hi
greedy,baseline,cosine,False,50,0.0797,0.0711,0.0925,4.8317,4.7709,4.9042,0.8827,0.877,0.8875,0.9892,0.9832,0.9936,0.9827,0.9759,0.9876,0.9779,0.9714,0.9827,0.9734,0.9677,0.9782,0.9689,0.964,0.9733,246.0,242.6,249.4,0.1396,0.1344,0.146,0.832,0.8292,0.8349,0.09,0.0879,0.0922,0.0021,0.0,0.0062,1.0,0.1752,87.6,1.0,0.0668,33.4,1.0,0.0668,33.4,1.0,0.0668,33.4,1.0,0.0712,35.6,1.0,0.132,66.0,1.0,0.26,130.0,114.1,,,,,,,,,,,,,,,
lt_temp_0.05,loop_regime,cosine,False,50,0.1339,0.1224,0.1526,5.4091,5.3251,5.5017,0.7946,0.7787,0.8087,0.9616,0.9547,0.9675,0.9287,0.9181,0.9383,0.9101,0.8974,0.9221,0.8948,0.8807,0.9083,0.8787,0.8638,0.8931,76.2,72.12,82.86,0.2156,0.2048,0.2271,0.8487,0.8406,0.8566,0.1161,0.1108,0.1212,0.004,0.0019,0.0055,1.0,0.2041,102.05,1.0,0.0666,33.3,1.0,0.0705,35.25,1.0,0.0705,35.25,1.0,0.0755,37.75,1.0,0.1328,66.4,0.78,0.4584,229.2,,,,,,,,,,,,,,,,
lt_temp_0.1,loop_regime,cosine,True,150,0.2223,0.2125,0.2342,6.2498,6.1979,6.3054,0.6633,0.6526,0.6724,0.9367,0.9324,0.9407,0.8722,0.8641,0.8795,0.8354,0.8258,0.8439,0.806,0.7953,0.8152,0.7754,0.7643,0.7853,48.9333,47.2392,50.5812,0.301,0.2957,0.3069,0.9091,0.9041,0.914,0.1554,0.152,0.1589,0.0028,0.0018,0.0038,0.84,0.3863,193.15,1.0,0.0657,32.85,1.0,0.077,38.5,1.0,0.0827,41.35,1.0,0.0936,46.8,1.0,0.1668,83.4,0.2133,0.8663,433.15,,,,,,,,,,,,,,,,
lt_temp_0.15,loop_regime,cosine,False,50,0.2904,0.2756,0.3053,6.7614,6.6922,6.8429,0.5536,0.5384,0.5672,0.9206,0.9145,0.9251,0.8181,0.8085,0.826,0.7584,0.746,0.7689,0.7126,0.6978,0.7247,0.6673,0.6528,0.6794,35.94,33.28,38.52,0.3595,0.3519,0.3714,0.9529,0.947,0.9602,0.1813,0.1744,0.1883,0.0053,0.0043,0.0069,0.36,0.7597,379.85,1.0,0.0808,40.4,1.0,0.1148,57.4,1.0,0.1273,63.65,1.0,0.1686,84.3,1.0,0.259,129.5,0.0,1.0,500.0,,,,,,,,,,,,,,,,
lt_rep_penalty_1.3,loop_regime,cosine,True,150,0.3569,0.3463,0.3676,7.0218,6.9642,7.0806,0.5004,0.4873,0.5143,0.8831,0.8779,0.888,0.7596,0.7502,0.7693,0.6912,0.6796,0.7038,0.6449,0.6313,0.6597,0.6018,0.5865,0.6183,36.5133,35.2133,37.6003,0.4142,0.4059,0.4223,0.9713,0.9642,0.9781,0.1987,0.1942,0.2032,0.0065,0.0052,0.0079,0.28,0.8459,422.95,1.0,0.1743,87.15,1.0,0.2035,101.75,1.0,0.2211,110.55,1.0,0.2764,138.2,1.0,0.3719,185.95,0.08,0.9623,481.15,,,,,,,,,,,,,,,,
lt_no_repeat_4gram,loop_regime_hard,cosine,True,150,0.9131,0.9078,0.9184,8.9571,8.9571,8.9571,0.0,0.0,0.0,0.798,0.7956,0.8007,0.3918,0.3885,0.3947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.6081,0.6066,0.6095,1.7441,1.7315,1.7576,0.2495,0.2467,0.2528,0.1347,0.1294,0.14,0.0,1.0,500.0,0.0,1.0,500.0,0.0,1.0,500.0,0.0,1.0,500.0,0.0,1.0,500.0,0.0,1.0,500.0,0.0,1.0,500.0,,,,,,,,,,,,,,,,
lt_lookback_a3.0,loop_regime,cosine,True,150,0.5085,0.5054,0.5117,8.0483,8.0365,8.0611,0.2157,0.2116,0.2191,0.8723,0.87,0.8747,0.6088,0.6039,0.6137,0.4366,0.4301,0.4425,0.3242,0.317,0.3302,0.2257,0.2187,0.2313,14.9267,14.0797,15.814,0.5294,0.5277,0.531,1.0457,1.0427,1.049,0.2671,0.2657,0.2684,0.0151,0.0133,0.0168,0.0,1.0,500.0,1.0,0.1856,92.8,0.8933,0.76,380.0,0.5733,0.9332,466.6,0.4067,0.9603,480.15,0.1933,0.9892,494.6,0.0,1.0,500.0,,,,,,,,,,,,,,,,
lt_risk_only,loop_regime_rr,cosine,True,150,0.3755,0.37,0.3814,7.2289,7.1918,7.2645,0.4198,0.4123,0.4276,0.8902,0.8878,0.8926,0.719,0.7125,0.7252,0.6176,0.6092,0.6258,0.5476,0.5382,0.5572,0.4824,0.4729,0.4927,26.0467,25.3998,26.7137,0.4283,0.4239,0.4324,0.987,0.9829,0.9921,0.2125,0.2101,0.2151,0.0066,0.0054,0.0078,0.08,0.9642,482.1,1.0,0.0888,44.4,1.0,0.1713,85.65,1.0,0.2121,106.05,1.0,0.285,142.5,0.9733,0.4761,238.05,0.0,1.0,500.0,,0.0963,0.0933,0.0992,0.2771,0.2744,0.28,0.2258,0.223,0.2291,0.4657,0.4588,0.472,3.0006,2.9471,3.0543
lt_adaptive,loop_regime_rr,cosine,True,150,0.3755,0.37,0.3814,7.2289,7.1918,7.2645,0.4198,0.4123,0.4276,0.8902,0.8878,0.8926,0.719,0.7125,0.7252,0.6176,0.6092,0.6258,0.5476,0.5382,0.5572,0.4824,0.4729,0.4927,26.0467,25.3998,26.7137,0.4283,0.4239,0.4324,0.987,0.9829,0.9921,0.2125,0.2101,0.2151,0.0066,0.0054,0.0078,0.08,0.9642,482.1,1.0,0.0888,44.4,1.0,0.1713,85.65,1.0,0.2121,106.05,1.0,0.285,142.5,0.9733,0.4761,238.05,0.0,1.0,500.0,,0.0963,0.0933,0.0992,0.2771,0.2744,0.28,0.2258,0.223,0.2291,0.4657,0.4588,0.472,3.0006,2.9471,3.0543
lt_dual_eps0.01,loop_regime_rr,cosine,True,150,0.7415,0.7373,0.746,8.7501,8.7438,8.7566,0.0222,0.021,0.0234,0.8235,0.8211,0.8255,0.3545,0.3507,0.3586,0.1316,0.128,0.1351,0.0391,0.0372,0.0409,0.0041,0.0035,0.0047,5.6867,5.5933,5.7933,0.6183,0.6163,0.6206,1.1667,1.1615,1.1726,0.306,0.3042,0.3079,0.0369,0.0338,0.04,0.0,1.0,500.0,0.0,1.0,500.0,0.0,1.0,500.0,0.0,1.0,500.0,0.0,1.0,500.0,0.0,1.0,500.0,0.0,1.0,500.0,,2.3279,2.2672,2.381,0.2514,0.2488,0.254,0.1784,0.1764,0.18,0.0913,0.09,0.0925,17.8894,17.7402,18.0404
